#{"t_start": 1778086532.8526413, "env_id": "YaskawaGP7ReachPyBullet-Collision-Free-v0"}
r,l,t
-11.974922,44,1201.968647
-13.996024,48,1202.543692
-15.361746,58,1203.230223
-12.797177,74,1204.121223
-16.232753,117,1205.488589
-10.786908,55,1206.136575
-14.474743,102,1207.332172
-13.662468,50,1207.909392
-46.034862,500,1213.761538
-19.985306,60,1214.458674
-23.347723,173,1216.500493
-9.220924,46,1217.044048
-13.764619,59,1217.726624
-7.829715,36,1218.147519
-12.257564,58,1218.83024
-20.2112,72,1219.671544
-14.387393,53,1220.281543
-5.956573,32,1220.654631
-47.610797,354,1224.826737
-16.507891,51,1225.415164
-6.406587,14,1225.570778
-5.533178,30,1225.945417
-11.393488,43,1226.463488
-17.99128,56,1227.120458
-15.576822,95,1228.247451
-15.094365,52,1228.865029
-13.661162,45,1232.421159
-14.002094,76,1233.318374
-9.170931,24,1233.599361
-12.348344,46,1234.132792
-16.438594,55,1234.773924
-38.549699,351,1238.880689
-15.985999,50,1239.4585
-18.785231,55,1240.10319
-25.754549,183,1242.219203
-7.304087,27,1242.542362
-12.006345,36,1242.994323
-17.257548,56,1243.65113
-15.571683,56,1244.30937
-13.505452,78,1245.203527
-10.963271,43,1245.701197
-17.702628,81,1246.638753
-11.228353,42,1247.128833
-10.508583,48,1247.677368
-24.547091,207,1250.11808
-16.96,52,1250.764931
-10.353701,48,1251.357881
-8.977232,39,1251.843965
-8.460981,28,1252.207998
-12.093219,47,1252.833123
-11.229902,47,1253.422515
-5.449019,30,1253.78501
-10.566297,55,1254.500123
-18.048766,68,1255.348828
-12.373692,45,1255.913813
-6.263397,31,1256.29955
-57.762416,500,1262.481157
-9.322978,41,1262.999799
-12.040751,44,1263.554287
-16.781745,59,1264.277325
-17.557795,53,1264.930582
-16.165397,123,1266.446919
-27.295341,264,1269.704055
-19.511278,72,1270.572052
-13.115758,48,1271.165791
-11.690835,61,1271.910105
-7.974904,38,1272.369646
-14.068227,54,1273.047834
-7.145259,38,1273.499654
-12.475625,51,1274.126266
-20.493039,114,1275.54776
-11.270819,41,1276.0454
-13.97361,45,1276.586801
-16.209685,60,1277.314841
-20.29498,93,1278.454698
-38.67033,295,1282.074313
-15.321924,61,1282.815958
-21.874778,182,1285.020873
-8.763989,39,1285.48563
-9.68768,68,1286.314404
-15.282996,65,1287.118255
-18.765018,122,1288.616879
-15.616071,55,1289.279304
-10.785341,43,1289.799323
-12.479589,52,1290.43933
-10.523346,39,1290.916392
-14.674954,63,1291.679787
-18.804688,58,1292.382703
-8.832191,38,1292.843807
-7.050067,16,1297.42442
-15.346701,79,1298.376137
-24.431526,176,1300.398707
-14.363753,52,1301.009046
-5.16568,8,1301.097809
-20.931751,116,1302.474805
-8.104293,39,1302.940589
-11.039031,52,1303.540113
-10.877925,44,1304.046966
-17.100604,59,1304.73436
-11.975081,73,1305.582117
-30.409043,220,1308.151883
-13.347686,76,1309.023283
-14.0644,95,1310.125318
-11.352984,42,1310.607
-15.749252,60,1311.297074
-14.098168,63,1312.036098
-4.522861,38,1312.481977
-12.653958,54,1313.119105
-18.867602,51,1313.706252
-11.52403,51,1314.326928
-42.577719,500,1320.258234
-17.395124,60,1321.018684
-7.771492,38,1321.466848
-6.324884,18,1321.68663
-45.678399,500,1327.810838
-17.444953,92,1328.929964
-11.900632,47,1329.499776
-17.837417,95,1330.679733
-45.818096,448,1336.173689
-16.995526,58,1336.866385
-12.108951,47,1337.445044
-12.084472,43,1337.965652
-14.837712,50,1338.582123
-14.063394,48,1339.173162
-21.021675,83,1340.183105
-63.094935,500,1346.272779
-15.970067,87,1347.358879
-6.485777,31,1347.731882
-33.382617,461,1353.358745
-12.79639,48,1353.967677
-20.583966,84,1355.001916
-16.950529,99,1356.210127
-21.833146,124,1366.862242
-9.189222,40,1367.394843
-69.645931,500,1373.273438
-18.422679,56,1373.962887
-17.87493,54,1374.598676
-58.502092,500,1380.429838
-6.075562,34,1380.835736
-58.801596,500,1386.698413
-12.409762,64,1387.461339
-9.364941,20,1387.693218
-23.16408,243,1390.529726
-5.656513,35,1390.941652
-14.866641,69,1391.734189
-16.840389,82,1392.722941
-3.824679,25,1393.023668
-18.825433,151,1394.774157
-11.816086,54,1395.394555
-15.630003,60,1396.096477
-25.764831,195,1398.349185
-17.534555,54,1399.008036
-16.110089,112,1400.389465
-14.133609,52,1401.016312
-22.650468,113,1402.355754
-20.665811,117,1403.797412
-12.988751,56,1404.480362
-36.002541,500,1410.655678
-16.572284,88,1411.732813
-8.32589,54,1412.423349
-12.609111,52,1413.047679
-5.670098,40,1413.543382
-8.574661,44,1414.073504
-13.590276,66,1414.880631
-8.355559,40,1415.367498
-12.652556,68,1416.206415
-27.894618,253,1419.304301
-6.607736,35,1419.735144
-7.876516,87,1420.779228
-22.816879,148,1422.559508
-15.030429,50,1423.173035
-14.569951,98,1424.356155
-10.26743,45,1424.910674
-11.516145,60,1425.672162
-65.71455,500,1441.746294
-13.28582,89,1442.76595
-10.667169,66,1443.544652
-7.921919,36,1443.962564
-10.518012,52,1444.576342
-14.750996,60,1445.262478
-27.636674,206,1447.6869
-12.173074,80,1448.611092
-15.480186,58,1449.27934
-15.906642,93,1450.36243
-47.612985,500,1456.205022
-13.391282,100,1457.359138
-12.153471,51,1457.950099
-13.280378,53,1458.59571
-55.563338,500,1464.417281
-12.800192,48,1464.975813
-9.142501,40,1465.473484
-9.481858,35,1465.87541
-11.146401,66,1466.671944
-13.800605,52,1467.336168
-9.719499,42,1467.87044
-17.878288,110,1469.259491
-13.315746,56,1469.96714
-25.528061,149,1471.809749
-18.993298,69,1472.662914
-16.747982,55,1473.333151
-7.313157,19,1473.560537
-13.383734,49,1474.150274
-12.608074,48,1474.742687
-7.649968,38,1475.203642
-13.068245,50,1475.808026
-6.944807,36,1476.263807
-8.358506,37,1476.723897
-10.114247,51,1477.372371
-11.625739,57,1478.068805
-7.976928,41,1478.589799
-44.303354,500,1484.687341
-7.216754,32,1485.065877
-7.180774,37,1485.515949
-6.428059,33,1485.923829
-8.709049,40,1486.39457
-15.767915,59,1487.132266
-18.98845,56,1487.787813
-9.419365,75,1488.690468
-19.664385,112,1490.0586
-13.017575,46,1490.61534
-6.601664,31,1490.992362
-12.936948,75,1491.931932
-12.177894,51,1492.546028
-47.908145,346,1503.361526
-16.798018,53,1503.970585
-10.655407,44,1504.476204
-14.343638,51,1505.081833
-14.272921,50,1505.636351
-9.391032,43,1506.121381
-10.308809,48,1506.682465
-12.204122,52,1507.280893
-17.086938,62,1508.001935
-15.548277,97,1509.121967
-7.2559,34,1509.512306
-48.06845,500,1515.35578
-11.288024,80,1516.286295
-12.048092,43,1516.794937
-6.93602,35,1517.208858
-11.539875,45,1517.755368
-8.7563,38,1518.186071
-62.21076,500,1523.992958
-7.72566,39,1524.478909
-18.802154,129,1525.977194
-10.061809,90,1527.049621
-13.932014,80,1527.986848
-11.691358,58,1528.665063
-8.38021,40,1529.13079
-10.838748,66,1529.89871
-11.434328,99,1531.132305
-6.44507,16,1531.321418
-18.967367,68,1532.137207
-25.744479,170,1534.175016
-4.800022,31,1534.539122
-20.154048,89,1535.569956
-6.809896,14,1535.730976
-7.426355,39,1536.196428
-44.344656,500,1542.143508
-25.769158,227,1544.849151
-44.797738,500,1550.7115
-8.124841,40,1551.189251
-24.987434,257,1554.162528
-19.174693,73,1555.01469
-34.875358,273,1558.229992
-38.33347,398,1569.48502
-15.589655,82,1570.422775
-15.227733,52,1571.065028
-14.436847,78,1571.97509
-23.78591,332,1575.812813
-19.672538,107,1577.059509
-56.73495,361,1581.35637
-14.565475,51,1581.933825
-14.501421,57,1582.58309
-11.624369,74,1583.42387
-11.048472,53,1584.06017
-16.562759,42,1584.535867
-4.223678,9,1584.643603
-18.526479,179,1586.721298
-17.729282,55,1587.359034
-56.042401,500,1593.182223
-22.546251,142,1594.824388
-56.407607,500,1600.653424
-19.343392,91,1601.711069
-18.140586,92,1602.778541
-20.705324,143,1604.463441
-15.724595,61,1605.171901
-5.739465,34,1605.578784
-24.135469,124,1607.022965
-55.534777,500,1612.801184
-10.433386,38,1613.232033
-12.156501,47,1613.772933
-55.076515,500,1619.54161
-14.308791,66,1620.302037
-21.366586,125,1621.734516
-9.120517,49,1622.300835
-5.905071,32,1622.66405
-12.614611,50,1623.239544
-13.798446,87,1624.28674
-8.619973,32,1624.651654
-17.431327,49,1625.214151
-31.390974,131,1634.650496
-3.738077,10,1634.787346
-13.196928,49,1635.365836
-9.20323,44,1635.87251
-58.502878,500,1641.709744
-14.876928,74,1642.552077
-48.469526,500,1648.355922
-46.945924,311,1651.953662
-15.496682,58,1652.611903
-13.655815,74,1653.465551
-17.041226,105,1654.663888
-28.342351,265,1657.73154
-12.07192,54,1658.356958
-14.066401,49,1658.915463
