train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/success_rate,time/episodes
1.5455247163772583,-19.385818880000002,16162,1232153,124.97,0.11807365715503693,0.001,1232254,76,0.48,9940
1.5209664106369019,-20.22464668,16179,1233593,131.25,0.06752645969390869,0.001,1233694,76,0.45,9950
1.4575978517532349,-19.52650442,16187,1234219,122.57,0.05309932678937912,0.001,1234320,76,0.48,9960
1.4629015922546387,-19.0873977,16204,1235202,119.67,0.12114360928535461,0.001,1235303,76,0.51,9970
1.2827743291854858,-18.328029779999998,16212,1235917,114.41,0.07667647302150726,0.001,1236018,76,0.48,9980
1.2918510437011719,-17.77265979,16224,1236985,111.6,0.10427433997392654,0.001,1237086,76,0.47,9990
1.4182639122009277,-17.717831290000003,16233,1237701,112.59,0.05445266142487526,0.001,1237802,76,0.46,10000
1.565794587135315,-17.18830755,16239,1238261,103.63,0.11759053170681,0.001,1238362,76,0.5,10010
1.4849610328674316,-17.37829287,16257,1239720,107.61,0.05940108746290207,0.001,1239821,76,0.5,10020
1.453566312789917,-17.13723652,16273,1240617,100.7,0.17059099674224854,0.001,1240718,76,0.54,10030
1.551034688949585,-17.67453172,16285,1241612,94.59,0.24697299301624298,0.001,1241713,76,0.55,10040
1.6632416248321533,-17.04890355,16299,1242830,92.37,0.20563027262687683,0.001,1242931,76,0.55,10050
1.4412322044372559,-18.51789161,16319,1244476,102.57,0.09411465376615524,0.001,1244577,76,0.53,10060
1.5975384712219238,-18.87889183,16342,1246065,108.63,0.06791921705007553,0.001,1246166,76,0.55,10070
1.7257647514343262,-19.11300302,16350,1246770,108.53,0.1301490068435669,0.001,1246871,76,0.57,10080
1.3432937860488892,-19.61360184,16370,1248436,114.51,0.0850200429558754,0.001,1248537,76,0.58,10090
1.5856857299804688,-20.630282339999997,16393,1249963,122.62,0.10607976466417313,0.001,1250064,76,0.61,10100
1.4126659631729126,-21.10672333,16408,1251245,129.84,0.08091261982917786,0.001,1251346,76,0.62,10110
1.5425529479980469,-20.968937299999997,16422,1252416,126.96,0.18940120935440063,0.001,1252517,76,0.62,10120
1.347407341003418,-20.908125439999996,16437,1253693,130.76,0.06691856682300568,0.001,1253794,76,0.61,10130
1.4531549215316772,-20.440530790000004,16463,1255544,139.32,0.07936696708202362,0.001,1255645,76,0.59,10140
1.5976648330688477,-19.90879934,16472,1256248,134.18,0.11573858559131622,0.001,1256349,76,0.6,10150
1.595841884613037,-19.368844450000005,16489,1257709,132.33,0.1546030044555664,0.001,1257810,76,0.62,10160
1.424959421157837,-19.05514975,16501,1258702,126.37,0.14372357726097107,0.001,1258803,76,0.59,10170
1.5204238891601562,-19.92007264,16525,1260539,137.69,0.09329985082149506,0.001,1260640,76,0.6,10180
1.300429105758667,-19.74075912,16541,1261878,134.42,0.10503724962472916,0.001,1261979,76,0.61,10190
1.4519569873809814,-19.10122816,16555,1263035,130.72,0.06236802414059639,0.001,1263136,76,0.61,10200
1.5397682189941406,-20.13319892,16588,1265186,139.41,0.07016867399215698,0.001,1265287,76,0.59,10210
1.5423094034194946,-19.8019475,16598,1266003,135.87,0.22570958733558655,0.001,1266104,76,0.57,10220
1.3808674812316895,-19.309655820000003,16607,1266787,130.94,0.06771285831928253,0.001,1266888,76,0.6,10230
1.7809760570526123,-18.98727972,16620,1267936,123.92,0.08578003942966461,0.001,1268037,76,0.64,10240
1.510603666305542,-19.20183674,16631,1268872,126.24,0.07324706763029099,0.001,1268973,76,0.59,10250
1.2035921812057495,-19.74575388,16662,1270755,130.46,0.11237294971942902,0.001,1270856,76,0.59,10260
1.282556414604187,-19.25043535,16672,1271632,129.3,0.045382946729660034,0.001,1271733,76,0.61,10270
1.4455187320709229,-18.84836311,16689,1273100,125.61,0.06661546230316162,0.001,1273201,76,0.56,10280
1.3838703632354736,-19.11246558,16719,1274901,130.23,0.247138112783432,0.001,1275002,76,0.54,10290
1.2464308738708496,-20.07205385,16735,1276288,132.53,0.21068821847438812,0.001,1276389,76,0.51,10300
0.9269127249717712,-19.26710837,16752,1277669,124.83,0.08541567623615265,0.001,1277770,76,0.47,10310
0.76091068983078,-19.440390590000003,16768,1278985,129.82,0.0673019140958786,0.001,1279086,76,0.48,10320
0.8618931770324707,-21.58665227,16808,1281649,148.62,0.11001159995794296,0.001,1281750,76,0.45,10330
1.1382778882980347,-22.00952305,16830,1283515,155.79,0.08295942842960358,0.001,1283616,76,0.41,10340
1.0799858570098877,-22.969621689999993,16861,1285291,164.19,0.14253869652748108,0.001,1285392,76,0.44,10350
1.299086570739746,-22.270241149999997,16882,1287091,163.36,0.09891559183597565,0.001,1287192,76,0.43,10360
1.0696003437042236,-23.43612207,16902,1288786,171.54,0.08939968049526215,0.001,1288887,76,0.37,10370
1.2583732604980469,-22.860214119999995,16914,1289873,167.73,0.10772918164730072,0.001,1289974,76,0.39,10380
1.0059821605682373,-23.00999725,16943,1291641,167.4,0.4245341122150421,0.001,1291742,76,0.37,10390
1.3965160846710205,-22.03764593,16954,1292568,162.8,0.05697641149163246,0.001,1292669,76,0.35,10400
1.2476470470428467,-21.695973600000002,16963,1293369,157.0,0.05424991995096207,0.001,1293470,76,0.38,10410
1.319336175918579,-21.77860207,16979,1294698,157.13,0.05840587243437767,0.001,1294799,76,0.38,10420
1.4159414768218994,-20.518136100000003,17009,1296649,150.0,0.04167724773287773,0.001,1296750,76,0.37,10430
1.2079343795776367,-20.11713325,17023,1297776,142.61,0.09754332900047302,0.001,1297877,76,0.38,10440
1.360156536102295,-20.00883193,17045,1299650,143.59,0.08851371705532074,0.001,1299751,76,0.37,10450
1.5579910278320312,-20.691251,17073,1301274,141.83,0.09383577853441238,0.001,1301375,76,0.38,10460
1.5244672298431396,-20.75710018,17090,1302679,138.93,0.08110623806715012,0.001,1302780,76,0.42,10470
1.4207427501678467,-22.058216329999997,17116,1304874,150.01,0.03731677308678627,0.001,1304975,76,0.44,10480
1.3885648250579834,-21.992767599999997,17149,1306868,152.27,0.08077887445688248,0.001,1306969,76,0.47,10490
1.383415699005127,-21.843260579999995,17158,1307650,150.82,0.09670291841030121,0.001,1307751,76,0.49,10500
1.4901258945465088,-22.200208159999992,17173,1308873,155.04,0.09957464039325714,0.001,1308974,76,0.49,10510
1.6047136783599854,-22.135406039999992,17185,1309845,151.47,0.09898768365383148,0.001,1309946,76,0.53,10520
1.422744631767273,-21.54144719,17203,1310815,141.66,0.05552251636981964,0.001,1310916,76,0.58,10530
1.4067496061325073,-21.291158650000003,17213,1311653,138.77,0.0821426659822464,0.001,1311754,76,0.59,10540
1.3782410621643066,-20.261356,17222,1312406,127.56,0.09427006542682648,0.001,1312507,76,0.6,10550
1.7978336811065674,-19.76931851,17239,1313822,125.48,0.023628804832696915,0.001,1313923,76,0.6,10560
1.212367057800293,-18.7692486,17259,1314901,122.22,0.08100184053182602,0.001,1315002,76,0.61,10570
1.4417983293533325,-17.61665466,17269,1315752,108.78,0.0369051918387413,0.001,1315853,76,0.6,10580
1.6054613590240479,-16.757628859999997,17280,1316664,97.96,0.1326976865530014,0.001,1316765,76,0.61,10590
1.2995418310165405,-17.57819226,17308,1319057,114.07,0.11948458105325699,0.001,1319158,76,0.59,10600
1.4753124713897705,-18.71360172,17346,1321547,126.74,0.31235724687576294,0.001,1321648,76,0.57,10610
1.4598329067230225,-18.752085479999995,17360,1322710,128.65,0.06851785629987717,0.001,1322811,76,0.54,10620
1.4981210231781006,-18.935244989999998,17373,1323774,129.59,0.08108961582183838,0.001,1323875,76,0.51,10630
1.451593279838562,-19.50216461,17399,1325479,138.26,0.06604431569576263,0.001,1325580,76,0.51,10640
1.4162845611572266,-20.419401630000003,17424,1327561,151.55,0.1592799872159958,0.001,1327662,76,0.53,10650
1.3717501163482666,-19.579661169999998,17435,1328425,146.03,0.05788252130150795,0.001,1328526,76,0.54,10660
1.2934339046478271,-19.85194311,17448,1329554,146.53,0.04360479861497879,0.001,1329655,76,0.53,10670
1.4061729907989502,-19.453532960000004,17462,1330097,143.45,0.05373784154653549,0.001,1330198,76,0.52,10680
1.2470484972000122,-20.71406453,17496,1332970,163.06,0.10398507118225098,0.001,1333071,76,0.5,10690
1.3737658262252808,-19.5072458,17503,1333487,144.3,0.10236437618732452,0.001,1333588,76,0.52,10700
1.4325141906738281,-18.915142300000003,17533,1335419,138.72,0.22513559460639954,0.001,1335520,76,0.55,10710
1.4024159908294678,-19.368162599999998,17552,1336995,142.85,0.1195610761642456,0.001,1337096,76,0.53,10720
1.3419910669326782,-19.43458094,17567,1338278,145.04,0.08880606293678284,0.001,1338379,76,0.54,10730
1.3845165967941284,-18.322817120000003,17573,1338846,133.67,0.050634514540433884,0.001,1338947,76,0.54,10740
1.500223159790039,-17.16983695,17580,1339415,118.54,0.10036247968673706,0.001,1339516,76,0.52,10750
1.5311527252197266,-17.01498359,17595,1340123,116.98,0.039725638926029205,0.001,1340224,76,0.54,10760
1.733245611190796,-16.93258088,17608,1341259,117.05,0.13773992657661438,0.001,1341360,76,0.55,10770
1.6022493839263916,-18.014935089999998,17629,1343016,129.19,0.10009974986314774,0.001,1343117,76,0.57,10780
1.6239300966262817,-16.579581769999997,17635,1343601,106.31,0.07447654753923416,0.001,1343702,76,0.6,10790
1.3502906560897827,-16.90876356,17647,1344561,110.74,0.08328902721405029,0.001,1344662,76,0.6,10800
1.461517572402954,-16.16778648,17664,1345666,102.47,0.05230705067515373,0.001,1345767,76,0.6,10810
1.6563148498535156,-16.604369589999997,17691,1347983,109.88,0.217400923371315,0.001,1348084,76,0.62,10820
1.5209851264953613,-16.05786035,17698,1348533,102.55,0.11648038029670715,0.001,1348634,76,0.62,10830
1.7707998752593994,-16.5320182,17710,1349575,107.29,0.053660184144973755,0.001,1349676,76,0.63,10840
1.3685507774353027,-17.17506286,17727,1350736,113.21,0.11449825763702393,0.001,1350837,76,0.64,10850
1.250889778137207,-17.15247744,17739,1351740,116.17,0.08733931183815002,0.001,1351841,76,0.62,10860
1.7290486097335815,-16.98206458,17749,1352567,113.08,0.14513295888900757,0.001,1352668,76,0.61,10870
1.3870480060577393,-16.40784375,17764,1353821,108.05,0.09119200706481934,0.001,1353922,76,0.6,10880
1.211055040359497,-16.63568882,17774,1354651,110.5,0.4705812931060791,0.001,1354752,76,0.58,10890
1.187358021736145,-16.597095089999996,17786,1355390,108.29,0.08636467158794403,0.001,1355491,76,0.55,10900
0.8552296161651611,-16.361057030000005,17794,1356040,103.74,0.21633748710155487,0.001,1356141,76,0.51,10910
