rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/fps,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,rollout/success_rate,time/time_elapsed,train/learning_rate
-8.707133480000001,49.72,-0.9225389957427979,81,458215,0.16771915555000305,8770,458114,0.47,5605,0.001
-8.58488615,50.29,-0.8184254169464111,81,458829,0.13752472400665283,8780,458728,0.45,5612,0.001
-8.95255967,57.43,-0.8746575117111206,81,459868,0.306249737739563,8790,459767,0.44,5625,0.001
-9.45633291,59.83,-0.7432248592376709,81,460546,0.18578794598579407,8800,460445,0.41,5633,0.001
-9.881643639999998,61.23,-0.556715726852417,81,460988,0.37961453199386597,8810,460887,0.38,5638,0.001
-11.247335940000001,70.3,-0.6641113758087158,81,462236,0.05090484023094177,8820,462135,0.37,5653,0.001
-12.773575279999998,79.74,-0.2902652621269226,81,463512,0.07234637439250946,8830,463411,0.33,5669,0.001
-13.378276060000003,84.56,0.24118265509605408,81,465288,0.03444817289710045,8840,465187,0.29,5691,0.001
-15.28651288,101.31,0.5989450216293335,81,467218,0.009779492393136024,8850,467117,0.28,5714,0.001
-16.23945371,114.99,0.8381955623626709,81,469087,0.016637347638607025,8860,468986,0.27,5737,0.001
-17.60149939,127.56,1.0570521354675293,81,470971,0.014541077427566051,8870,470870,0.26,5761,0.001
-18.46021289,131.98,1.137416124343872,81,472027,0.019408058375120163,8880,471926,0.25,5774,0.001
-18.681815819999997,134.43,1.1744019985198975,81,473311,0.010562453418970108,8890,473210,0.23,5789,0.001
-19.11442561,144.16,1.305760383605957,81,474962,0.015443893149495125,8900,474861,0.23,5810,0.001
-19.43956383,151.35,1.4235835075378418,81,476123,0.011474862694740295,8910,476022,0.24,5824,0.001
-18.927448809999998,151.24,1.2038549184799194,81,477360,0.01124587282538414,8920,477259,0.26,5840,0.001
-18.23454229,151.25,1.3679862022399902,81,478637,0.0489310696721077,8930,478536,0.3,5856,0.001
-17.423125229999997,141.27,1.484196662902832,81,479415,0.05184874311089516,8940,479314,0.36,5866,0.001
-16.72373874,135.18,1.5334358215332031,81,480736,0.011057499796152115,8950,480635,0.42,5882,0.001
-16.05532302,127.46,1.486559271812439,81,481833,0.0063714198768138885,8960,481732,0.45,5896,0.001
-15.07119065,120.82,1.687978744506836,81,483053,0.0075493925251066685,8970,482952,0.5,5911,0.001
-14.256119100000001,118.32,1.5563592910766602,81,483859,0.02292693220078945,8980,483758,0.53,5921,0.001
-14.188996640000001,113.34,1.554581642150879,81,484645,0.011615050956606865,8990,484544,0.58,5932,0.001
-13.559249819999998,102.05,1.54831862449646,81,485167,0.007188298273831606,9000,485066,0.63,5938,0.001
-13.500026680000003,100.38,1.3518463373184204,81,486161,0.004593733698129654,9010,486060,0.66,5950,0.001
-13.168680470000002,97.88,1.3076493740081787,81,487148,0.011457865126430988,9020,487047,0.66,5963,0.001
-12.875482350000002,92.68,1.4134759902954102,81,487905,0.011846520937979221,9030,487804,0.69,5972,0.001
-13.075718870000001,93.95,1.4364724159240723,81,488810,0.014388305135071278,9040,488709,0.71,5983,0.001
-12.135452349999998,85.94,1.3328295946121216,81,489330,0.012804243713617325,9050,489229,0.72,5990,0.001
-11.827391709999997,84.93,1.4990850687026978,81,490326,0.004888850264251232,9060,490225,0.74,6002,0.001
-11.25786795,78.04,1.4952702522277832,81,490857,0.007676383480429649,9070,490756,0.77,6008,0.001
-11.25337182,74.68,1.4364914894104004,81,491327,0.021828925237059593,9080,491226,0.77,6014,0.001
-10.85950256,73.59,1.550377368927002,81,492004,0.01681569218635559,9090,491903,0.79,6023,0.001
-10.770379899999998,75.0,1.400169849395752,81,492667,0.010651839897036552,9100,492566,0.79,6031,0.001
-10.383732649999999,70.11,1.5009511709213257,81,493172,0.01068488322198391,9110,493071,0.82,6037,0.001
-10.269282750000002,64.44,1.5162861347198486,81,493592,0.00641530891880393,9120,493491,0.84,6042,0.001
-9.784566219999999,61.15,1.5632164478302002,81,494020,0.004713174421340227,9130,493919,0.86,6048,0.001
-9.48976013,56.75,1.5804288387298584,81,494485,0.024512838572263718,9140,494384,0.87,6053,0.001
-9.539048450000001,57.07,1.6524091958999634,81,495037,0.011967450380325317,9150,494936,0.9,6060,0.001
-8.98556123,51.59,1.612877607345581,81,495485,0.015215747058391571,9160,495384,0.93,6066,0.001
-9.120204390000001,51.18,1.4878787994384766,81,495975,0.012319609522819519,9170,495874,0.93,6072,0.001
-9.10467499,50.59,1.6333138942718506,81,496386,0.004409892484545708,9180,496285,0.94,6077,0.001
-8.8095806,47.74,1.586774468421936,81,496778,0.010517669841647148,9190,496677,0.95,6082,0.001
-8.76782134,45.87,1.5252912044525146,81,497254,0.013081190176308155,9200,497153,0.95,6087,0.001
-8.83243638,45.39,1.6703705787658691,81,497711,0.0072712074033916,9210,497610,0.95,6093,0.001
-8.901594260000001,47.73,1.5662002563476562,81,498365,0.015372482128441334,9220,498264,0.96,6101,0.001
-8.89294295,47.74,1.497346043586731,81,498794,0.005530836991965771,9230,498693,0.96,6106,0.001
-9.081030109999999,50.37,1.5679543018341064,81,499522,0.006656859535723925,9240,499421,0.95,6115,0.001
-9.14759018,53.75,1.5572720766067505,81,500412,0.005609177518635988,9250,500311,0.94,6126,0.001
-9.734252649999998,57.14,1.6121262311935425,81,501199,0.00758958887308836,9260,501098,0.93,6136,0.001
-9.580912849999999,57.92,1.5459315776824951,81,501767,0.006321595050394535,9270,501666,0.93,6143,0.001
-9.35423337,58.11,1.5221092700958252,81,502197,0.0041689081117510796,9280,502096,0.94,6148,0.001
-9.56058356,57.73,1.5794625282287598,81,502551,0.00559917651116848,9290,502450,0.92,6153,0.001
-9.77920748,57.53,1.6553202867507935,81,503007,0.005406885873526335,9300,502906,0.92,6158,0.001
-9.78200988,57.62,1.6209940910339355,81,503473,0.01788959838449955,9310,503372,0.91,6164,0.001
-9.70143288,58.15,1.35296630859375,81,504180,0.0057849399745464325,9320,504079,0.9,6173,0.001
-10.26263345,61.29,1.4434880018234253,81,504923,0.006699062883853912,9330,504822,0.88,6182,0.001
-9.81987062,56.96,1.5308276414871216,81,505218,0.016861088573932648,9340,505117,0.87,6185,0.001
-9.46517218,51.88,1.4368191957473755,81,505600,0.016672048717737198,9350,505499,0.86,6190,0.001
-9.316639480000001,50.57,1.6662771701812744,81,506256,0.0331883430480957,9360,506155,0.87,6198,0.001
-9.30916568,49.85,1.5929343700408936,81,506752,0.018085306510329247,9370,506651,0.87,6204,0.001
-9.437137550000001,50.88,1.7438583374023438,81,507285,0.021100793033838272,9380,507184,0.88,6211,0.001
-9.49824973,50.91,1.688692331314087,81,507642,0.012397094629704952,9390,507541,0.88,6215,0.001
-9.33497634,50.15,1.5877048969268799,81,508022,0.012156268581748009,9400,507921,0.86,6220,0.001
-9.174336259999999,51.46,1.5656392574310303,81,508619,0.009713461622595787,9410,508518,0.86,6227,0.001
-9.17670772,50.07,1.4323608875274658,81,509187,0.016894947737455368,9420,509086,0.86,6234,0.001
-8.92874015,50.38,1.625364065170288,81,509961,0.0030774539336562157,9430,509860,0.86,6244,0.001
-9.39368666,52.81,1.5686606168746948,81,510499,0.026364978402853012,9440,510398,0.88,6250,0.001
-9.89194955,58.23,1.510766625404358,81,511423,0.007311748340725899,9450,511322,0.86,6262,0.001
-9.963616620000002,58.36,1.4739949703216553,81,512092,0.023762542754411697,9460,511991,0.84,6270,0.001
-9.98038509,57.76,1.607863187789917,81,512528,0.005264401435852051,9470,512427,0.84,6275,0.001
-9.885391519999999,55.95,1.563096046447754,81,512880,0.003732748795300722,9480,512779,0.81,6280,0.001
-10.056009949999998,58.53,1.7596161365509033,81,513495,0.025420695543289185,9490,513394,0.81,6287,0.001
-10.130433550000001,59.45,1.618464469909668,81,513967,0.011509545147418976,9500,513866,0.83,6293,0.001
-10.06745793,57.84,1.4597644805908203,81,514403,0.020200185477733612,9510,514302,0.84,6299,0.001
-10.13340141,57.88,1.5081026554107666,81,514975,0.0046873874962329865,9520,514874,0.83,6306,0.001
-9.94143105,57.12,1.459453821182251,81,515673,0.029388872906565666,9530,515572,0.82,6314,0.001
-9.80065119,56.97,1.5738862752914429,81,516196,0.01249030139297247,9540,516095,0.82,6321,0.001
-9.60797476,53.74,1.5285873413085938,81,516797,0.015200896188616753,9550,516696,0.84,6328,0.001
-9.24309399,51.17,1.4275023937225342,81,517209,0.00796649232506752,9560,517108,0.82,6333,0.001
-9.291690810000002,51.7,1.555973768234253,81,517698,0.01409821305423975,9570,517597,0.77,6339,0.001
-9.31770656,52.08,1.3542428016662598,81,518088,0.007039163261651993,9580,517987,0.77,6344,0.001
-9.3209015,51.29,1.6046253442764282,81,518624,0.0031065286602824926,9590,518523,0.75,6351,0.001
-9.14633394,51.82,1.498826026916504,81,519149,0.010894231498241425,9600,519048,0.74,6357,0.001
-9.32229318,56.02,1.5504001379013062,81,520005,0.008254876360297203,9610,519904,0.71,6368,0.001
-9.132865679999998,55.25,1.7541346549987793,81,520500,0.00948648527264595,9620,520399,0.73,6374,0.001
-9.091581849999999,53.54,1.5290710926055908,81,521027,0.007863135077059269,9630,520926,0.76,6380,0.001
-9.338542630000001,57.51,1.625810146331787,81,521947,0.01366601511836052,9640,521846,0.76,6392,0.001
